,country,income,health,population
0,Afghanistan,1925,57.63,32526562
1,Albania,10620,76.0,2896679
2,Algeria,13434,76.5,39666519
3,Andorra,46577,84.1,70473
4,Angola,7615,61.0,25021974
5,Antigua and Barbuda,21049,75.2,91818
6,Argentina,17344,76.2,43416755
7,Armenia,7763,74.4,3017712
8,Australia,44056,81.8,23968973
9,Austria,44401,81.0,8544586
10,Azerbaijan,16986,72.9,9753968
11,Bahamas,22818,72.3,388019
12,Bahrain,44138,79.2,1377237
13,Bangladesh,3161,70.1,160995642
14,Barbados,12984,75.8,284215
15,Belarus,17415,70.4,9495826
16,Belgium,41240,80.4,11299192
17,Belize,8501,70.0,359287
18,Benin,1830,65.5,10879829
19,Bhutan,7983,70.2,774830
20,Bolivia,6295,72.3,10724705
21,Bosnia and Herzegovina,9833,77.9,3810416
22,Botswana,17196,66.4,2262485
23,Brazil,15441,75.6,207847528
24,Brunei,73003,78.7,423188
25,Bulgaria,16371,74.9,7149787
26,Burkina Faso,1654,62.8,18105570
27,Burundi,777,60.4,11178921
28,Cambodia,3267,68.4,15577899
29,Cameroon,2897,59.5,23344179
30,Canada,43294,81.7,35939927
31,Cape Verde,6514,74.6,520502
32,Central African Republic,599,53.8,4900274
33,Chad,2191,57.7,14037472
34,Chile,22465,79.3,17948141
35,China,13334,76.9,1376048943
36,Colombia,12761,75.8,48228704
37,Comoros,1472,64.1,788474
38,"Congo, Dem. Rep.",809,58.3,77266814
39,"Congo, Rep.",6220,61.9,4620330
40,Costa Rica,14132,80.0,4807850
41,Cote d'Ivoire,3491,60.33,22701556
42,Croatia,20260,78.0,4240317
43,Cuba,21291,78.5,11389562
44,Cyprus,29797,82.6,1165300
45,Czech Republic,29437,78.6,10543186
46,Denmark,43495,80.1,5669081
47,Djibouti,3139,64.63,887861
48,Dominica,10503,74.6,72680
49,Dominican Republic,12837,73.8,10528391
50,Ecuador,10996,75.2,16144363
51,Egypt,11031,71.3,91508084
52,El Salvador,7776,74.1,6126583
53,Equatorial Guinea,31087,60.63,845060
54,Eritrea,1129,62.9,5227791
55,Estonia,26812,76.8,1312558
56,Ethiopia,1520,63.6,99390750
57,Fiji,7925,66.3,892145
58,Finland,38923,80.8,5503457
59,France,37599,81.9,64395345
60,Gabon,18627,60.53,1725292
61,Gambia,1644,65.1,1990924
62,Georgia,7474,73.3,3999812
63,Germany,44053,81.1,80688545
64,Ghana,4099,65.5,27409893
65,Greece,25430,79.8,10954617
66,Grenada,11593,71.7,106825
67,Guatemala,7279,73.1,16342897
68,Guinea,1225,60.8,12608590
69,Guinea-Bissau,1386,53.4,1844325
70,Guyana,6816,64.4,767085
71,Haiti,1710,65.3,10711067
72,Honduras,4270,72.4,8075060
73,Hungary,24200,76.2,9855023
74,Iceland,42182,82.8,329425
75,India,5903,66.8,1311050527
76,Indonesia,10504,70.9,257563815
77,Iran,15573,78.5,79109272
78,Iraq,14646,72.1,36423395
79,Ireland,47758,80.4,4688465
80,Israel,31590,82.4,8064036
81,Italy,33297,82.1,59797685
82,Jamaica,8606,75.5,2793335
83,Japan,36162,83.5,126573481
84,Jordan,11752,78.3,7594547
85,Kazakhstan,23468,68.2,17625226
86,Kenya,2898,66.63,46050302
87,Kiribati,1824,62.4,112423
88,Kuwait,82633,80.7,3892115
89,Kyrgyz Republic,3245,69.0,5939962
90,Lao,5212,66.4,6802023
91,Latvia,23282,75.7,1970503
92,Lebanon,17050,78.5,5850743
93,Lesotho,2598,48.5,2135022
94,Liberia,958,63.9,4503438
95,Libya,17261,76.2,6278438
96,Lithuania,26665,75.4,2878405
97,Luxembourg,88314,81.1,567110
98,"Macedonia, FYR",12547,77.0,2078453
99,Madagascar,1400,64.7,24235390
100,Malawi,799,60.22,17215232
101,Malaysia,24320,75.1,30331007
102,Maldives,14408,79.5,363657
103,Mali,1684,57.6,17599694
104,Malta,30265,82.1,418670
105,Marshall Islands,3661,65.1,52993
106,Mauritania,3877,65.7,4067564
107,Mauritius,18350,73.9,1273212
108,Mexico,16850,74.5,127017224
109,"Micronesia, Fed. Sts.",3510,67.0,104460
110,Moldova,4896,72.7,4068897
111,Mongolia,11819,65.3,2959134
112,Montenegro,14833,75.8,625781
113,Morocco,7319,74.7,34377511
114,Mozambique,1176,56.4,27977863
115,Myanmar,4012,67.9,53897154
116,Namibia,10040,61.0,2458830
117,Nepal,2352,71.2,28513700
118,Netherlands,45784,80.6,16924929
119,New Zealand,34186,80.6,4528526
120,Nicaragua,4712,76.8,6082032
121,Niger,943,62.2,19899120
122,Nigeria,5727,61.33,182201962
123,North Korea,1390,71.4,25155317
124,Norway,64304,81.6,5210967
125,Oman,48226,75.7,4490541
126,Pakistan,4743,66.5,188924874
127,Panama,20485,78.2,3929141
128,Papua New Guinea,2529,60.6,7619321
129,Paraguay,8219,73.9,6639123
130,Peru,11903,77.5,31376670
131,Philippines,6876,70.2,100699395
132,Poland,24787,77.3,38611794
133,Portugal,26437,79.8,10349803
134,Qatar,132877,82.0,2235355
135,Romania,19203,76.8,19511324
136,Russia,23038,73.13,143456918
137,Rwanda,1549,66.53,11609666
138,Samoa,5558,72.2,193228
139,Sao Tome and Principe,3003,68.8,190344
140,Saudi Arabia,52469,78.1,31540372
141,Senegal,2251,66.1,15129273
142,Serbia,12908,78.1,8850975
143,Seychelles,25684,73.7,96471
144,Sierra Leone,2085,58.5,6453184
145,Singapore,80794,82.1,5603740
146,Slovak Republic,27204,76.4,5426258
147,Slovenia,28550,80.2,2067526
148,Solomon Islands,2047,64.1,583591
149,Somalia,624,58.7,10787104
150,South Africa,12509,63.72,54490406
151,South Korea,34644,80.7,50293439
152,South Sudan,3047,58.0,12339812
153,Spain,32979,81.7,46121699
154,Sri Lanka,10624,76.5,20715010
155,St. Lucia,9997,74.5,184999
156,St. Vincent and the Grenadines,10435,72.9,109462
157,Sudan,3975,69.5,40234882
158,Suriname,17125,70.5,542975
159,Swaziland,6095,51.5,1286970
160,Sweden,44892,82.0,9779426
161,Switzerland,56118,82.9,8298663
162,Syria,4637,70.26,18502413
163,Tajikistan,2582,71.0,8481855
164,Tanzania,2571,63.43,53470420
165,Thailand,14512,75.1,67959359
166,Timor-Leste,2086,72.4,1184765
167,Togo,1433,64.23,7304578
168,Tonga,5069,70.5,106170
169,Trinidad and Tobago,30113,71.4,1360088
170,Tunisia,11126,77.3,11253554
171,Turkey,19360,76.5,78665830
172,Turkmenistan,15865,67.9,5373502
173,Uganda,1680,60.8,39032383
174,Ukraine,8449,72.1,44823765
175,United Arab Emirates,60749,76.6,9156963
176,United Kingdom,38225,81.4,64715810
177,United States,53354,79.1,321773631
178,Uruguay,20438,77.3,3431555
179,Uzbekistan,5598,70.1,29893488
180,Vanuatu,2912,65.0,264652
181,Venezuela,15753,75.8,31108083
182,Vietnam,5623,76.5,93447601
183,West Bank and Gaza,4319,75.2,4668466
184,Yemen,3887,67.6,26832215
185,Zambia,4034,58.96,16211767
186,Zimbabwe,1801,60.01,15602751
