ObsLatentHeat(mm.day),ObsSensibleHeat(mm.day),ModNetRadiation(mm.day),ModTsLessTa(K)
3.02032,1.40401,3.98793,-0.660780
2.29532,0.709532,2.76756,1.15064
1.43509,0.594407,1.75564,0.458114
1.39698,0.591081,1.39263,0.0755127
1.25578,0.790936,1.40756,-0.370402
1.83643,0.941831,2.03566,-0.193201
1.30324,3.77661,6.44601,0.473704
2.28170,2.15389,3.32219,-0.235897
2.78730,2.60044,4.41940,0.797129
4.55383,2.05526,7.40229,-2.39294
3.31277,3.23746,5.71430,0.894486
5.30959,1.68990,6.49739,-4.49687
3.87913,3.52697,6.44834,0.274948
3.87232,3.06895,6.27286,0.0207671
4.64107,0.740707,6.14970,-6.07931
3.13574,2.19171,4.79025,-1.40273
5.73387,1.91741,6.05947,-4.27625
3.15111,2.06175,4.60019,-1.36609
5.19640,2.10931,5.54878,-2.30173
2.23759,1.21645,2.82979,0.189095
1.63716,0.880431,1.69948,-0.357523
1.23768,0.463408,1.11777,-0.113902
1.79894,1.88383,4.63482,2.41033
1.03216,0.643041,1.37764,0.425422
1.73117,2.33315,5.35174,4.31140
1.36890,1.27882,2.18294,1.18251
1.94545,2.06860,3.29672,0.510602
1.43164,3.79954,6.54477,5.80776
2.47727,3.09714,4.78685,1.30614
3.66465,1.96518,6.53209,0.550580
2.30495,2.83277,5.93564,2.01405
5.57125,1.04825,6.50512,-4.76442
3.07669,3.33567,6.43900,-0.315979
4.03993,1.36949,6.11170,-6.29499
3.86050,2.85960,6.25659,-0.471215
3.85313,1.07473,6.20795,-6.26163
3.35716,2.91887,5.29176,-0.652212
3.49039,-0.0423026,5.48213,-2.38559
2.09003,2.54943,4.13177,-0.340943
3.17776,0.991327,5.58256,-3.32134
1.30593,1.84382,2.73929,0.338869
1.22137,1.12675,1.72140,0.0886049
2.77001,2.70697,4.38308,-0.332894
1.14164,0.568081,1.15695,0.253660
1.99951,1.58808,4.56338,0.872820
1.23035,0.506236,1.38387,-0.172132
1.70205,2.41581,5.30788,1.65939
1.22847,0.977939,2.04013,-0.277911
1.57543,3.01468,6.10625,4.78710
1.93064,2.31416,3.09511,0.779255
2.23487,3.06085,6.68894,3.96057
1.90671,2.72775,4.51710,1.66146
2.66391,4.18570,5.85754,2.80547
3.62388,4.02219,6.51089,1.94304
4.23431,3.34692,6.39364,-0.968006
3.99937,2.16466,5.46042,-0.999896
4.77314,0.916238,5.37309,-4.73806
2.68334,2.35619,4.20311,0.721115
1.95515,1.65819,2.73649,0.433071
4.27818,0.976737,4.71939,-2.90971
4.10377,0.508817,4.29651,0.241607
3.37878,1.25256,4.66062,0.409637
1.94922,2.73839,5.44281,2.11902
2.84772,2.54086,5.89667,2.73596
1.57118,1.99813,3.25566,0.0938477
3.19106,2.47431,6.91160,0.641229
2.37910,2.80969,4.76241,2.48721
3.85164,1.79007,7.06639,-2.76102
3.62325,3.14298,5.62005,0.896550
5.24564,1.11015,6.53912,-4.54411
3.74107,2.83383,6.31778,-0.878182
4.88891,0.829083,5.85692,-4.62974
3.86004,2.30696,6.15456,-0.869100
4.74390,0.786197,5.81723,-5.39861
3.68965,1.91609,5.04482,0.122085
5.04369,0.992386,5.58982,-4.58934
3.07487,1.81717,4.14465,-0.811715
4.99587,1.46092,5.52050,-2.25047
2.34088,0.852138,2.87423,0.334092
3.47062,1.13996,4.99177,-0.0155046
1.44525,0.576985,1.76471,-0.159206
2.05875,1.59196,4.41001,-1.14217
1.30148,0.0483126,1.15084,1.03282
1.63068,0.265473,1.28849,0.415343
1.67971,2.55861,5.06366,3.50235
1.68678,0.882127,2.07204,0.0652094
2.02783,3.16577,5.86592,3.13777
2.19712,1.53952,3.11375,-0.420293
3.13070,1.99920,4.57715,0.708196
3.50257,2.70564,5.74078,0.165278
5.25639,1.43877,6.86686,-4.83277
3.40731,2.76886,6.41440,0.190406
5.13784,0.514166,6.26640,-2.38537
3.43042,2.41936,6.29433,-1.47260
6.25235,1.43628,5.74466,-5.77241
4.33856,2.18585,5.59224,-1.44962
4.70165,0.878213,5.23747,-6.97331
3.71810,1.59295,4.22454,-0.317638
2.04176,0.923314,2.64826,0.502541
1.40106,0.670232,1.69101,-0.202921
2.95787,1.36298,4.22348,-2.15388
0.957394,0.296908,1.22779,0.639800
2.44560,1.76506,4.54485,0.348578
1.24446,0.423025,1.35230,0.523982
1.44964,1.06753,2.20773,0.969321
2.23710,1.83684,3.51614,0.244531
2.97688,2.78313,5.04979,1.96105
3.72424,2.62858,5.91974,-0.183645
3.88425,2.73829,6.46598,-1.30856
4.20647,2.81688,6.29845,-1.46861
3.41773,1.90403,5.33567,-1.81592
3.45598,1.58760,4.00336,-0.876926
2.01091,1.08132,2.78919,0.575257
1.67733,0.276758,1.66630,0.522390
1.01108,0.215841,1.39606,-0.193155
1.42365,0.0531920,1.82544,2.78697
1.05860,0.481958,1.19389,0.637584
0.956747,0.548976,1.25505,-0.558660
1.71499,0.856049,2.14117,0.773167
0.956561,-0.272085,1.81385,0.184463
2.28370,1.63416,3.38549,1.33659
1.61290,1.00817,2.96674,2.02921
2.85176,2.30581,4.81164,2.51293
2.21907,1.84913,4.41109,3.69232
2.87515,1.15961,4.91028,6.60677
2.98260,0.265202,3.64983,-1.38698
3.84277,2.42763,5.64933,0.768080
3.02243,2.12318,4.96298,4.32589
4.19606,2.23714,6.20244,-0.858041
3.62455,1.90906,5.49326,2.72786
3.69853,1.74204,5.51870,2.00211
3.74652,1.89673,6.25879,-6.01725
4.52488,1.98534,6.23502,0.169580
4.29483,1.76930,5.49236,1.99154
2.13110,3.18526,5.14930,6.55322
2.99080,1.34047,6.58650,-5.18374
3.66415,1.96083,5.19363,-0.976700
1.52370,2.87615,4.23092,6.70146
4.00553,2.46501,6.01791,-5.00422
3.14065,1.26336,4.12531,-0.995176
3.09004,0.998898,3.74840,0.833082
1.30906,1.92014,3.58872,3.20984
3.36989,2.25831,5.60023,2.16129
4.46282,1.53822,5.69972,-0.751757
2.03209,0.951622,2.75721,0.497438
2.18258,1.91395,4.58931,2.72399
2.67025,1.41350,5.03817,-0.122798
1.82656,0.461888,1.71088,0.532943
2.30351,1.62484,4.46692,0.233259
1.32132,-0.0454091,1.21155,0.386095
1.57893,1.82580,3.95108,4.06830
2.21446,1.59680,4.58753,1.30514
1.28014,0.204706,1.34011,-0.375133
1.01265,0.629407,1.44578,1.48395
1.56599,2.64884,4.44128,3.32258
2.24024,1.98291,5.02380,1.12754
1.16238,0.860240,2.17887,0.610580
1.28806,0.992800,2.26203,1.81927
1.45527,3.39587,5.46699,3.44754
2.04241,3.08388,6.45705,5.15501
2.01626,1.79828,3.49395,0.451177
1.72398,0.397868,2.96068,1.99067
2.20683,0.781891,3.55569,3.27424
2.60493,-0.348928,2.63287,-0.261486
1.50482,3.59100,6.21561,2.90815
2.85378,2.91949,6.64996,1.91386
2.90448,2.19831,4.99166,1.22668
3.89542,2.42616,5.05901,3.64655
2.66743,0.515933,3.77975,0.174739
2.08197,2.74080,7.78940,0.824259
1.92951,2.77034,7.19426,0.157037
1.85895,2.99404,6.34855,3.15342
2.98167,2.31777,7.14298,-0.613989
3.58230,2.42648,5.79859,0.489856
3.19942,1.94599,5.13331,3.50814
2.49205,1.54186,4.46166,1.04186
3.03949,1.77344,7.38289,-2.65005
4.42748,1.24907,6.50079,-3.68839
4.15429,2.34150,6.18608,-0.204020
3.12892,2.02828,4.74410,3.88124
5.29332,1.48449,6.83088,-4.85384
5.03660,0.879346,6.47789,-7.49253
5.38697,1.99483,6.44440,-1.24747
4.58945,0.364330,5.24720,-10.0339
2.58656,2.71314,5.41055,5.40942
4.58815,0.646433,5.76982,-2.63005
4.19861,1.12565,5.29671,-1.50168
0.879836,3.01239,4.47010,6.69022
5.71722,1.73517,6.33048,-1.10250
5.33844,1.24875,6.06485,-3.28292
3.25562,1.19983,4.10139,-1.16197
3.55793,2.56738,5.54079,2.31811
4.15077,1.11470,5.26573,1.98278
5.04671,1.37693,5.63715,-3.99548
2.11190,0.776343,2.60414,0.345935
0.934289,2.82839,4.26912,3.64400
2.57967,NaN,4.30172,0.797259
3.02777,0.906390,4.00173,2.85460
1.54997,0.119178,1.66589,-0.530104
0.746513,0.325788,1.49227,0.378879
0.407992,3.09915,4.04324,6.39793
2.33501,2.93038,4.05082,2.00968
3.05734,1.34191,4.66592,-0.590115
1.40529,0.274247,1.05939,-0.208056
0.260384,3.35729,4.16999,6.67516
1.91892,2.97100,4.07832,4.03885
1.82182,1.49446,3.75288,4.33427
2.72559,1.71308,4.73228,0.278131
1.28097,0.208884,1.35417,0.289822
0.190377,3.82996,4.99349,7.91391
1.86267,3.41723,4.78884,4.75052
1.55525,2.22480,4.51092,5.33703
1.77769,0.575560,1.99375,0.161255
2.22667,-0.841604,1.60573,-2.13796
0.382452,4.06563,5.71888,7.17710
1.39329,2.81882,5.09915,6.05588
2.74446,1.05635,3.21250,-0.785615
1.56634,0.963090,2.91362,1.59889
2.29600,0.732336,3.43022,2.91865
0.320519,4.16000,5.91225,7.49843
1.68457,3.47773,5.74356,4.02426
1.14561,3.27422,5.39340,7.47628
2.80927,1.96056,4.61003,0.199288
2.18910,1.81876,3.89870,4.84439
4.17576,1.20802,4.80304,3.98032
3.73541,0.497137,3.67833,-0.265405
0.448816,3.48342,7.16262,4.20230
1.89259,3.21805,6.39903,1.57742
0.951791,3.19766,5.95818,5.86204
4.80386,1.31874,7.09401,-1.55033
3.76789,1.69339,5.97273,-0.198503
3.49082,2.07883,5.32939,1.78234
4.98664,1.11254,6.20108,3.59504
3.39885,2.31239,7.81149,5.38847
3.01353,2.39350,7.37083,-0.626396
2.76919,2.55463,7.57217,4.40112
5.02518,1.24730,6.97789,-6.08752
4.62196,2.45230,6.55671,-1.34088
3.92522,2.56508,5.77952,1.97281
4.17987,1.90495,5.27822,3.15181
4.50632,1.37184,6.06755,-3.50891
5.33550,0.744058,6.23476,-7.78928
3.46759,2.57942,6.40646,-0.222705
5.17874,1.67174,6.42869,-2.42227
4.02102,0.0230615,5.07784,-5.31086
4.77740,2.28116,5.71551,0.669931
4.32897,2.17970,6.48477,4.05833
2.72450,2.87122,5.23114,5.50111
4.92377,1.47892,6.04291,-4.36926
5.50013,1.07257,5.89086,-4.22030
2.65559,2.62620,6.40132,3.82796
4.07664,1.23077,4.97105,-1.25322
2.69438,2.49632,4.50962,4.09791
5.09879,1.90813,6.05294,-1.70560
5.45749,1.11187,5.95385,-5.15061
4.87186,1.64513,5.83034,2.44464
3.44401,1.21129,3.98490,-0.596772
4.00561,2.07043,5.36978,-1.38883
4.56907,1.20104,5.20813,-4.90861
2.84170,1.81764,4.91091,2.13670
2.37308,0.690427,2.73303,-0.562660
1.73673,0.290077,2.40069,-1.47012
1.40619,0.467535,2.38784,-0.0975728
1.91718,0.479174,3.02168,1.41477
2.59634,1.76534,4.46836,-1.31680
3.91846,1.10242,4.72384,-4.07082
1.15281,2.17339,3.95183,2.29508
1.60967,0.247109,1.75954,-0.593258
1.37788,-0.0594045,1.48390,-0.701227
0.993385,0.270959,1.47726,-0.0855699
2.31112,1.41340,4.06306,2.78274
3.38036,1.16119,4.40417,-1.16489
0.564943,2.24648,3.49265,4.59214
1.34866,2.18371,1.23628,-0.241172
0.554290,0.00818047,1.06088,0.0358928
2.06338,1.64361,4.31485,4.78440
2.85801,1.58312,4.52250,-2.35334
0.474773,2.29599,3.52372,3.11880
1.41969,2.30671,1.41516,0.742895
1.00408,-0.0314901,1.14514,-0.440687
0.579577,-0.383299,1.28383,0.198645
2.24439,1.96535,4.72116,6.45808
2.48347,2.19513,5.20920,0.434443
0.393646,3.04956,4.17742,7.64519
1.58268,0.854031,1.88683,0.156333
1.57123,0.171896,1.85211,-0.831279
1.78149,1.71855,3.18599,1.67732
0.911793,0.942925,2.32450,1.50780
0.510785,-0.820314,1.87053,-0.183537
2.19265,2.76546,5.60740,5.43641
3.36885,2.52251,6.07060,-2.82217
0.722812,3.22190,5.11438,6.52815
2.09471,2.04765,3.27542,0.00659373
1.54475,1.01655,2.80496,-0.620793
1.81704,2.30293,4.67441,4.25355
0.766054,1.92646,3.31734,3.92409
1.41991,1.48945,2.91682,1.60044
2.17403,0.127198,2.37712,-1.01234
3.64587,2.31984,6.04280,2.69740
4.80081,1.93133,6.21856,-4.63120
0.996454,3.20241,5.67701,7.05767
2.60056,1.98104,4.58379,1.12904
2.66034,1.83651,4.29950,0.842943
1.50315,2.62647,5.83140,6.82428
1.06702,2.68196,4.53578,8.45407
1.81434,1.78551,4.04696,2.25393
2.58112,1.47119,4.86546,2.81984
3.24912,0.360931,3.64713,0.0444961
3.80306,2.39625,6.43382,2.63012
5.00115,1.62188,6.35402,-5.18100
1.41776,3.17716,6.23135,7.61609
3.35987,2.14457,5.39912,0.321697
3.18483,2.40911,5.54272,1.08821
0.816598,3.89241,6.68249,8.82478
1.37314,3.03046,5.46958,9.37154
2.64875,1.58082,4.90224,2.95282
3.88296,1.13035,5.74060,4.19133
2.68593,0.830171,4.44685,0.902892
5.66511,1.70533,7.22971,-4.14310
1.98731,2.76543,6.95375,3.92291
4.60012,2.48378,6.16690,-0.316683
3.73476,2.03408,6.13443,-0.978185
2.06486,2.67340,6.81802,5.03288
1.71982,3.67370,5.78360,6.41598
3.23504,2.04389,5.34019,2.19898
4.15503,1.25226,6.31524,3.21461
4.88760,1.79652,5.02821,1.08581
3.77925,0.899165,6.39589,-3.42683
2.79771,2.77039,5.77526,4.00448
5.07542,1.52467,6.47966,-0.0201638
5.02985,1.77502,6.18857,-1.14486
4.01430,2.33773,5.86554,-0.675802
1.58117,3.44005,6.84689,4.17623
1.75641,3.64416,5.82046,6.05275
6.17052,-0.197604,5.65773,-6.00070
2.91088,0.554913,5.39502,-6.30934
3.87246,1.69191,5.35275,0.919267
4.38320,1.06051,6.26693,1.42770
4.09545,0.902132,6.12503,-4.11033
4.17719,1.45685,5.90172,-4.30718
3.83876,1.42019,4.95295,2.68480
4.41030,1.50921,4.79931,0.490574
3.40588,1.81176,4.93601,0.168525
3.62899,1.37138,6.51729,-2.97425
2.40302,2.40864,5.10126,2.99826
5.69836,0.136733,5.82349,-4.45639
2.95509,1.49761,4.55226,1.91265
3.45616,0.939928,5.33175,-6.14055
3.70021,0.830723,6.25847,-7.68132
2.77054,1.03726,3.77157,2.45258
4.68983,1.33523,5.34113,-2.57144
3.01012,1.24846,3.84450,-0.814731
2.30487,1.02641,3.66847,-1.04722
2.58872,1.03782,5.71122,-0.0884585
1.50786,2.03464,3.93161,2.28366
5.36060,0.117761,5.32884,-5.57960
2.16324,1.26060,3.48124,0.957930
2.93549,0.902823,4.15185,1.29027
4.00277,1.38784,4.49714,-1.38138
3.32323,2.15866,5.16115,-1.33446
3.63964,1.61876,5.19447,-2.73349
1.90370,0.624476,2.75420,0.363527
2.11688,0.208911,2.51221,-1.13038
1.05439,1.83560,4.69534,3.74207
1.09640,1.65007,2.97008,3.03128
3.73476,-0.241578,3.56831,-1.15275
2.20311,1.99756,4.56264,1.47898
2.66550,1.91975,4.90501,-0.654330
1.37775,0.678949,1.77225,0.422157
1.18996,-0.136793,1.53383,-0.459967
0.273732,2.42048,3.57681,5.23565
0.796298,0.809969,1.85662,0.783812
2.97881,-0.259073,3.38566,-2.53987
0.934176,2.32235,3.71427,5.05652
1.55237,1.83075,4.07841,2.52257
1.24857,2.40250,4.50272,1.38193
1.35672,1.94407,3.47124,4.09194
1.05258,0.570385,1.24272,0.506393
1.09089,-0.370592,1.02746,-0.0116217
0.954724,0.794378,2.21719,2.13293
0.437430,2.11348,3.11010,3.40970
0.630145,0.458358,1.41606,0.554988
2.63361,-0.0801927,3.28509,-1.45561
0.846367,2.48141,3.83049,5.18329
1.69046,2.00574,4.14540,2.17743
1.67739,2.49416,4.62495,0.397318
1.08745,2.07038,3.52279,3.32388
1.10192,0.920844,1.29408,0.0475789
1.73498,-0.511967,1.13081,-0.877056
0.817952,0.966751,2.44226,1.83905
0.124625,2.56371,3.32874,4.69046
0.719823,0.572060,1.60950,0.218826
2.22239,-0.132333,3.33005,-1.07893
0.551838,2.99434,4.43908,6.86642
1.76265,2.42402,4.80822,3.73585
2.69965,2.10878,5.45240,1.90460
0.908574,2.52553,4.21318,5.66349
1.64266,0.870855,2.19487,0.257761
1.96388,-0.162666,1.92317,-0.393410
1.22799,1.25408,3.31165,1.11680
0.0161059,3.01134,4.11015,5.65427
0.963838,0.933237,2.34039,1.67679
1.16321,2.03177,3.80048,4.14764
2.94753,0.244013,4.37882,-0.307988
0.549476,3.09892,5.50770,6.28412
1.82077,2.90404,5.72133,3.87107
1.66146,2.25426,5.28517,4.72005
3.10602,2.14870,6.01058,0.264988
2.37098,0.429327,2.94587,2.07926
0.755481,2.77911,5.19101,4.90313
2.33984,0.623494,3.24593,-0.973124
1.94802,1.41760,4.44175,0.975103
0.0464704,3.42836,5.05215,6.55261
0.687651,2.13873,3.56531,3.67421
0.909526,2.85546,4.77669,5.27833
2.85956,0.850165,4.54180,-2.84532
3.40928,3.16372,6.58935,1.38782
1.29809,2.99076,5.95917,4.30117
3.60184,2.02766,6.58552,-1.85343
3.20497,1.39455,4.18729,3.18319
0.988847,3.14279,6.00413,3.47567
2.75552,2.10876,4.80645,0.699704
2.86949,1.40045,4.27273,-0.825690
2.32229,1.32822,5.20034,1.97248
0.508611,3.01126,5.85528,5.19616
1.22997,2.87992,4.65065,6.74750
1.25392,2.88157,5.57940,3.72867
4.15287,1.25637,5.63452,-0.750403
2.01883,1.84458,4.12927,2.57746
4.14316,2.03114,6.51643,-3.16787
2.90375,2.42138,6.30648,2.99358
2.53819,3.65854,5.75172,6.13168
5.30687,1.33953,6.69386,-4.26532
3.19688,2.55370,6.48598,-0.240738
4.01643,2.44648,5.74641,-1.18731
4.91187,1.58304,5.53169,-0.315996
2.99574,2.36206,5.90900,2.39128
0.614325,3.75381,6.28528,6.03821
1.62939,3.40646,5.76022,6.27764
4.74950,0.572863,5.35985,-3.86653
3.11462,2.00779,4.99105,1.25837
5.14679,1.90438,6.69018,-5.30989
2.77205,3.33832,6.17974,5.71653
4.87687,1.17468,7.11490,-6.53668
3.82488,2.43280,6.57192,1.72647
3.75847,2.65495,6.44441,-0.156175
2.18319,4.25121,5.99055,8.38147
3.78221,2.41392,6.11581,-0.339866
2.76895,1.31146,6.26362,-0.805514
0.259269,4.15424,6.61360,6.29047
1.55626,3.99300,6.03787,7.63855
5.33735,-0.0790510,5.52662,-6.51320
3.18345,2.43367,5.52908,1.87059
4.70665,2.03871,6.94029,-4.95439
1.90533,4.01744,6.22031,5.11113
5.45112,0.560165,6.38572,-5.88285
1.34676,3.86955,5.50582,10.5879
1.42709,3.78060,6.71528,4.69809
4.23888,2.22007,6.30700,-1.09250
1.92193,4.41215,5.77964,9.55380
4.04343,2.02609,6.07551,-0.690575
1.35884,3.44653,6.64996,7.63253
1.80092,3.56882,5.82743,6.49098
4.70977,0.683015,5.54603,-2.58557
1.76364,3.40669,7.05180,8.00471
2.72088,0.634920,5.56355,-3.83507
3.55959,1.96326,5.56848,1.10087
4.88855,1.36456,6.53433,2.85822
5.12177,2.45370,6.55297,-3.57009
3.26343,2.80100,7.07372,4.06594
2.14159,3.48885,5.50899,2.85718
4.98721,0.988755,6.01122,-4.87547
1.24310,3.10960,4.81005,7.56724
4.15579,2.44364,6.59553,0.628671
3.72135,1.45231,4.92425,-1.01344
2.16028,3.10910,5.08047,6.00191
3.06433,1.87117,5.09653,-0.878240
0.354742,4.13537,6.48294,7.01875
0.930621,3.50749,5.20546,4.64783
2.96239,2.65903,6.32776,0.827911
3.09337,1.42819,4.58498,-0.599440
4.02193,2.16341,5.88762,-3.62958
4.19266,0.999828,6.03507,-0.645531
1.13943,3.12702,4.62995,4.18561
4.95775,0.970317,5.91955,-4.86760
3.63213,0.990397,3.42788,2.29599
3.13992,1.14326,3.82350,-0.405188
2.31292,1.79187,3.79303,3.41873
3.02641,0.994690,3.66068,-1.00293
1.52954,2.61523,5.45000,5.13911
1.61074,2.15670,4.23722,3.10595
1.61170,2.54120,5.32621,4.79345
2.35657,0.984096,3.31360,0.154890
3.24291,2.68191,5.58033,-0.396036
4.08774,1.05649,5.27906,2.43894
1.39315,1.77218,3.30039,1.70179
4.29638,1.52033,5.54314,-2.69007
3.70177,2.01505,4.94393,1.73924
2.32208,0.657679,2.77228,-0.272615
1.66081,1.24649,2.75917,3.94080
2.11588,0.230021,2.58519,-0.146282
0.942620,2.61992,4.55042,4.89046
0.912422,1.69634,3.08204,2.97434
3.70005,-0.104970,3.83361,-1.10818
1.17298,2.48601,4.45238,9.30114
1.64330,0.776438,2.45971,0.721132
2.13788,NaN,3.03178,2.07136
2.37801,1.95943,4.67375,0.942210
3.42896,0.758198,4.25873,1.78728
1.76600,0.549465,2.31839,-0.963651
3.34057,0.827775,4.76596,-2.11929
2.20872,1.65594,3.80366,1.37192
1.55058,0.451361,1.72164,-0.909514
1.04846,0.462391,1.57392,1.43357
1.61631,-0.210938,1.41676,-1.53453
0.152805,2.67133,3.57754,4.22662
0.738224,0.970097,1.90869,0.519493
2.97913,-0.333175,3.10068,-2.02089
1.09441,1.77350,3.40475,5.69423
1.16829,0.0781796,1.81064,1.00289
1.65642,1.58431,4.29900,4.13909
2.09963,1.16323,3.83319,4.31118
2.76286,1.14596,4.53421,-0.224618
1.04475,1.84166,3.34986,3.90194
1.15704,0.251487,1.22258,0.142304
1.07045,-0.440819,1.00615,-1.20263
0.647941,0.534983,1.45022,0.00107140
2.60460,0.241829,3.12097,-0.434736
1.09140,1.63641,2.56723,3.86792
0.456001,2.95034,3.84044,3.96298
1.53992,1.70679,4.22292,3.49483
1.47754,1.75006,3.77318,3.00718
2.34386,1.70236,4.55070,-0.189975
0.586667,2.20194,3.44533,2.16253
1.11478,0.187933,1.26195,0.246354
1.43699,-0.179751,1.14451,-0.573618
0.596607,0.616320,1.66117,0.105069
2.37439,-0.0696176,2.62779,-0.946828
0.0650819,2.53533,3.03712,4.47911
1.00658,0.513785,1.52425,0.187762
1.49120,1.22045,2.79807,0.943241
0.984019,-0.152716,1.48977,0.697873
0.380799,2.94499,4.64532,7.23372
1.71207,2.02754,5.14390,5.31871
1.23880,2.36128,4.58892,6.94394
2.87846,0.760554,2.85672,0.178781
1.96615,2.93433,5.57431,2.33453
1.96786,0.0649492,1.81544,1.24465
0.526122,2.75876,4.20188,6.62881
1.38897,0.585045,2.01842,1.26060
1.90897,0.0558167,1.79040,-0.875063
0.697328,1.19887,2.41973,0.563900
2.38665,0.974755,3.56628,-0.794951
0.0916680,2.85747,3.65987,8.06694
1.31015,0.725484,2.26101,2.17361
1.75815,1.52384,3.78458,2.83920
1.14080,0.0104734,2.26559,1.45323
0.294369,3.24197,5.65413,7.17575
2.04458,2.42373,6.12137,4.63695
1.15567,2.65906,5.31047,6.69375
2.60760,1.64854,3.97647,1.56133
1.70463,3.73910,6.64050,4.82393
2.83033,0.224344,2.89394,1.51806
0.598866,2.70281,5.02367,5.93957
1.34406,1.91901,3.49075,-0.434576
1.57979,1.40773,3.21008,2.07577
2.57275,0.690837,3.07526,-0.927289
0.0387768,3.66514,5.09700,8.14731
0.635071,2.41799,3.63384,3.92518
2.84731,0.881051,4.28407,-1.77162
0.189887,3.47042,4.60016,9.84128
