ObsLatentHeat(mm.day),ObsSensibleHeat(mm.day),ModNetRadiation(mm.day),ModTsLessTa(K)
1.10838,1.71128,3.46016,4.85597
1.95139,1.59333,4.87233,4.46382
0.362242,3.67086,6.34992,4.24100
2.31711,2.84018,6.53760,3.04824
2.52405,3.16501,5.09792,3.24577
4.00297,2.28819,6.52860,0.496262
2.58470,1.73038,4.21675,3.86463
0.744969,3.23651,5.75569,7.67119
1.98481,NaN,4.99590,0.332095
1.63024,2.61421,4.51130,4.59789
3.28469,1.60052,4.44812,0.412573
0.268752,3.80463,6.03389,10.0858
0.627767,3.51773,4.90394,6.92770
3.06923,0.529379,4.74714,-0.0147233
0.367528,3.87729,5.46289,12.1253
1.25354,2.96820,5.93286,7.23849
2.85318,1.62351,5.07138,2.72727
2.66254,3.71424,5.99281,5.18687
5.18106,1.00051,6.58062,-0.0811465
0.937895,3.20094,5.00472,9.50109
0.504283,3.22722,6.63583,5.07973
1.54251,3.67510,5.52970,10.6348
3.35991,2.34876,5.71180,-0.623063
0.642824,3.64923,6.54165,9.03571
0.655868,4.19992,5.82163,7.02712
2.93239,0.960851,4.92736,-1.20968
1.20815,3.76536,6.02499,10.7473
1.24194,3.45354,5.25855,8.59075
1.42112,3.36508,6.46881,7.75598
3.51051,2.19187,5.26791,2.93069
2.31257,4.01382,6.38037,5.39752
5.07074,1.19258,6.97416,-3.60793
4.90533,2.55308,6.48674,-0.441518
1.77415,4.16618,6.01667,10.1376
3.71860,2.74743,6.30125,-1.20675
1.04457,3.65474,6.79683,6.80589
0.870456,4.75917,6.25731,7.24106
2.89427,1.30424,5.39577,-2.17557
0.620294,3.76499,6.29342,8.66539
1.56286,3.50388,6.24406,8.64982
2.60648,2.65005,6.07940,5.60866
0.475938,4.47976,5.61556,8.94096
1.23535,3.85649,6.86617,10.1805
3.47131,2.58854,5.75935,2.73899
5.43274,-0.220757,6.31379,-6.93238
4.72176,1.33234,6.94820,-7.09676
2.90237,2.53367,6.85402,7.36396
1.28671,5.13974,6.28640,5.90407
4.91103,1.03316,5.90204,-8.09675
0.429637,3.57076,5.41703,12.6772
1.85405,3.25179,6.35994,7.86849
5.07228,1.86688,6.47543,-1.33743
5.11725,2.73275,5.93361,0.409303
2.89658,3.58323,6.29824,0.713380
1.71429,2.72201,5.75982,0.965826
0.658947,4.16967,6.80336,8.84570
0.553278,5.00200,6.12276,8.36108
5.66219,0.444248,5.31178,-3.52326
1.01326,3.28244,6.12583,9.04354
0.703469,4.43260,6.23720,9.99933
2.53858,2.98228,5.91419,2.18242
0.274162,4.44045,5.51420,9.60304
0.612154,3.70247,6.75618,8.51559
3.74847,2.66897,6.58452,4.44368
5.10011,1.57807,6.43070,-4.52970
4.39156,2.01017,6.47937,1.86613
0.874501,4.37539,5.82141,5.67981
5.56537,1.01865,6.02747,-4.91052
0.621687,2.87646,4.71887,9.32125
2.05193,3.34236,6.20499,6.59404
4.33645,1.45197,5.22890,-1.92539
2.62222,2.51609,5.41521,-0.114865
0.357058,4.07528,6.34934,9.27287
0.528031,3.95083,5.44423,6.00478
4.86027,0.502609,5.04826,-3.11061
0.608590,3.13081,5.63412,7.95259
0.342016,4.31951,5.67652,11.3504
4.07090,1.56305,5.01102,1.53542
0.134303,3.43950,4.74334,7.76963
1.55118,2.98611,6.22536,9.15173
4.59811,2.08174,6.08928,-4.88790
3.63144,1.83742,5.73346,1.06368
5.58558,0.826346,5.68911,-5.45214
1.22812,2.14882,3.76063,6.05280
3.69017,1.84009,5.69664,3.59454
3.58024,1.45287,4.15146,-0.805629
2.35793,1.41602,4.02972,-0.626719
3.02586,0.972165,4.24188,-1.67771
0.281315,3.78527,5.67527,7.74296
0.951381,2.58418,4.33104,4.23780
5.32406,-0.152747,4.50973,-1.45509
1.53172,2.07997,4.61022,4.06804
0.187382,3.83691,5.32951,9.34972
4.06487,1.31905,4.26214,0.682369
0.182490,2.55060,3.83691,5.36083
2.48454,0.339116,3.39648,-2.94342
1.47148,2.74546,5.14893,8.90049
3.99635,1.70557,5.71213,-0.658913
4.70364,1.18939,5.28054,2.06801
1.23480,1.59463,3.44435,0.879407
5.26142,1.19251,5.58994,-2.72298
2.93680,1.71164,4.59539,8.00765
2.04572,0.562592,2.79435,-0.508367
1.65570,0.552737,2.55627,-2.17261
0.328582,3.13736,4.48389,4.99135
0.679604,2.05610,2.96425,2.30703
4.59943,0.0656264,3.71902,-2.97668
0.625904,1.45092,3.41881,2.57549
0.228755,3.02885,4.10170,7.49262
2.82442,1.13338,3.08030,-0.223052
0.351809,1.52239,2.67049,3.34398
2.41763,-0.696550,2.03113,-2.76076
1.39294,2.29855,4.45115,4.58287
1.36982,0.570278,2.40038,-0.435770
1.63013,2.54324,4.77282,-1.19612
2.47815,1.87996,4.77991,-1.34522
2.74896,1.42752,4.42341,0.574950
2.07074,0.519471,2.37779,-1.01553
3.76100,1.31132,4.93564,-2.64592
0.689611,2.45111,3.76503,4.93721
1.75281,0.351746,1.68573,-1.11826
1.35227,-0.0390789,1.50993,-1.96940
0.804144,2.13742,3.20402,3.45262
0.657862,0.851878,1.96053,-0.0362297
3.52591,-0.396124,2.98922,-2.29867
0.708253,0.818283,2.41624,0.175959
0.983698,2.11525,2.97128,4.52480
2.18294,0.391466,2.05680,0.0793419
0.374857,1.18762,1.77925,1.35572
0.878195,0.0864570,1.48763,0.0492692
1.02587,2.77026,4.20027,2.29211
1.95692,1.56791,4.12442,-0.440960
1.20348,0.490704,1.90084,-1.53289
3.23800,1.07793,4.40525,-2.18194
1.54927,0.147869,1.24674,-0.531350
0.980558,-0.0778722,1.08588,-1.06681
0.265067,2.04115,2.84772,2.87543
0.869296,0.517504,1.47190,-0.463229
2.72887,0.00697568,2.77629,-2.39460
0.581513,0.798072,1.96284,0.923143
0.366922,1.86505,2.56898,3.68960
1.94588,-0.400923,1.51878,-0.749996
1.64698,-1.47601,0.607656,-2.16117
0.427402,2.82402,4.25188,3.93513
1.56802,1.86949,4.21639,1.55737
1.76635,0.357787,2.03500,-0.717190
2.83356,1.39131,4.58574,-0.331212
1.70421,0.212571,1.28028,-1.19296
1.09252,0.00468207,1.14692,-0.853301
0.0671802,2.47757,3.27204,4.03598
0.782623,0.476896,1.72107,-0.213301
3.13276,0.0381338,2.79034,-2.53154
0.653929,0.836589,2.13478,0.278723
0.160007,2.29221,2.99134,5.09014
1.74172,0.115719,1.75252,-0.622685
0.749799,0.278228,1.46797,0.285314
1.79711,-1.14554,0.758234,-3.12259
1.20647,1.53635,2.82311,1.58159
0.958170,-0.674353,1.11009,-0.889605
0.254122,3.39173,4.99988,7.29196
1.63541,2.76893,5.01563,3.73331
2.02121,0.628463,2.69202,-0.966598
2.63598,2.51695,5.46482,2.73686
2.21038,0.634669,1.98707,-1.10103
1.36679,0.337125,1.78194,-1.86812
1.58761,1.56335,3.43006,0.782845
0.0618366,3.11361,3.92995,6.66962
0.685058,1.16979,2.46582,0.878365
2.76012,0.588264,3.75066,-0.473732
0.407217,1.26707,2.96264,2.98300
0.0845241,2.93914,3.51756,8.17605
1.86647,0.926660,2.49857,0.973303
1.18710,0.449436,2.14433,0.634548
2.42667,NaN,1.45628,-4.36799
0.937009,2.15008,3.52930,2.67887
0.889946,-0.134009,1.81455,-1.02617
1.59056,3.12682,5.86206,5.23897
2.62240,1.39747,3.62580,-0.984459
2.22065,3.43263,5.96897,2.56802
2.54682,1.15228,3.30599,-0.470452
1.69370,1.13806,3.04304,-0.858467
2.06432,1.96547,4.53567,2.30802
0.775324,2.22500,3.68739,3.99610
3.54108,0.968522,4.43635,-1.17800
0.742412,1.58867,3.99555,4.49355
2.03904,2.05046,3.74203,2.28956
1.51441,1.00779,3.29357,2.96147
2.57821,-0.366473,2.55959,-3.19902
0.619534,2.80318,4.57949,4.55057
1.91396,0.902798,3.04564,1.20398
2.37387,3.28029,6.46967,5.37610
2.32639,3.13407,5.10067,4.38493
2.96974,3.48836,6.32826,0.781527
2.90950,2.33417,4.85801,1.94142
1.89053,1.89410,4.30491,-0.635789
1.85350,2.50155,5.53576,3.33184
0.0594458,4.26836,5.57458,12.4400
0.651765,3.75479,4.77153,7.63279
2.90317,0.917607,4.72748,-0.507227
0.577034,3.06265,5.24354,10.4080
0.157236,4.10830,5.06656,14.3629
1.94137,2.80384,4.93793,6.96494
2.95595,0.345528,3.78683,-2.55089
0.295835,3.47990,5.37680,9.52602
2.52136,1.91814,4.21130,4.01842
3.09981,2.78923,6.67625,2.49304
2.24606,3.51613,6.03981,6.99694
4.14034,2.55170,6.21611,-1.81459
3.19191,2.95350,5.97416,0.716749
2.28176,3.24967,5.31985,1.63492
2.52361,2.58023,6.04926,2.41019
0.0293812,4.03271,6.03482,12.7624
0.627389,4.50648,5.75954,10.2380
3.47708,0.983798,5.35452,-0.939086
0.791869,3.72252,5.91847,10.5653
0.261432,3.78884,5.50468,14.8355
2.64839,1.41801,4.70630,-0.770528
2.79003,2.28265,6.46800,8.74500
2.93915,2.36479,5.12224,4.54772
3.85463,2.25610,6.55021,-2.69401
5.27573,1.35892,6.07240,-5.32968
4.23024,2.62301,6.53432,0.387367
2.94913,3.04304,6.34067,-0.493748
3.86331,1.83345,6.12787,2.95726
0.774975,3.68430,6.09641,10.6773
0.613404,3.40923,6.27470,10.9220
1.27849,3.66423,5.62519,11.9108
3.34650,1.48434,5.43736,-2.46866
1.14163,3.83124,6.95376,10.6025
4.13131,2.38061,5.73012,2.42449
4.79544,1.06686,6.31177,0.367163
1.29587,5.15578,6.31268,6.63622
5.26909,0.821314,6.65956,-2.35531
0.633065,4.11584,5.50078,10.6582
3.15282,2.43229,6.02721,3.91697
4.48669,2.34062,6.39135,0.496624
3.57894,2.66454,6.19300,-1.43935
2.62321,1.68636,5.74021,0.0243868
1.15748,3.95175,5.94909,10.1461
0.874413,4.29285,6.29134,9.96424
1.42271,3.21926,6.01467,7.75319
2.18344,3.25688,5.60657,11.5577
2.36987,2.86050,5.95860,4.81968
0.447278,4.02469,5.38309,8.56999
4.38149,1.24863,6.87337,-2.58673
3.66178,2.09926,5.65671,-0.509311
4.30216,1.89423,6.40235,-3.04236
4.39456,1.11180,5.95704,-0.285666
1.05015,4.63289,5.70722,5.12949
5.34683,0.395731,5.63311,-4.36052
0.812507,3.09220,4.78451,9.66970
4.67094,1.41455,5.85207,-0.814179
4.63169,1.83540,5.26657,-0.0115255
3.02579,1.73927,5.34655,0.152961
1.72585,2.21633,5.48716,-1.02098
2.11120,3.14083,6.04430,5.84762
0.969229,3.31990,5.52673,7.70048
3.50391,1.87668,5.55060,6.03945
2.28751,1.89195,5.12567,4.71578
0.566239,3.47266,4.91903,7.14014
4.12201,0.551640,5.68106,-0.823844
2.98668,1.08188,4.70338,-2.54146
4.76874,1.73568,6.30088,-1.79877
5.59006,1.01273,6.10540,-0.0186921
0.953237,3.32133,4.61868,4.85117
5.24995,1.49844,5.88977,-3.09231
1.13029,2.30149,3.78771,7.55093
4.60275,2.02550,5.60352,2.16839
3.29482,0.974278,3.94852,-1.05475
1.93383,1.24455,4.01644,-1.00375
1.48707,2.08357,4.81330,0.683706
1.77311,3.04946,5.59613,6.36169
0.778798,2.47517,4.61291,4.77875
1.58575,3.18702,5.01641,8.27099
2.73740,1.11231,4.19384,-0.609788
0.174766,2.57067,3.95119,5.88789
3.80052,0.799113,5.25684,-1.36231
2.36958,0.611833,3.39211,-2.71098
4.27151,1.35634,5.65614,-4.23079
3.66067,1.46864,5.36048,-1.24790
0.939107,1.91885,3.50851,1.33598
4.24540,1.36081,5.35737,-6.08518
3.38838,1.65536,4.84540,2.51960
2.27316,0.609421,2.57229,-0.177295
1.52538,0.735258,2.41176,-2.06271
2.44069,1.18232,3.87714,-0.493659
1.19926,2.72975,4.47307,4.38153
0.699041,1.39097,3.38057,4.50979
0.598114,3.01866,4.01235,7.23185
2.29084,0.456605,3.02329,-1.15886
3.07741,0.691734,4.41231,-2.58079
3.26388,1.00320,4.87509,1.15554
2.70831,1.49014,4.54175,2.51591
1.54430,0.234046,2.31825,-1.31936
3.87251,1.18731,4.86834,-2.04077
1.57176,2.47022,3.97186,4.17125
1.70395,0.380759,1.69293,-0.426903
1.17327,-0.313450,1.49046,-1.79019
1.87437,0.696212,2.82567,-0.435095
0.530473,2.10470,3.45428,3.51060
0.518144,0.829185,1.87927,0.485239
0.620617,0.726313,2.43609,0.533338
0.350544,2.32662,2.97739,5.84956
1.54369,0.441390,2.08728,-0.297597
3.79940,0.423222,3.57261,-1.39933
1.91635,-1.24914,1.06714,-3.43658
2.33863,0.923466,3.93435,2.22074
1.50627,1.62829,3.57962,3.13506
1.70615,-0.0196775,1.88104,-1.22845
3.17188,0.744126,4.38071,-1.69479
0.763093,2.28447,3.09643,3.61527
1.97774,0.339755,1.14273,-0.354361
1.09625,-0.301813,1.18520,-0.761058
1.37640,0.515686,2.30273,-0.313717
0.0709389,2.25852,2.99913,3.21601
0.558097,0.500332,1.41195,-1.37315
0.396785,0.763346,1.92371,1.06179
1.63884,-0.371423,1.48942,-0.767762
0.119029,-0.156954,1.25591,-0.783127
2.48905,0.279569,3.30452,-2.43014
2.05360,1.14101,4.18503,2.84593
1.18831,1.84930,3.83737,3.28184
1.69850,0.277620,1.98195,-1.51138
2.81140,1.40196,4.82208,0.228698
0.454888,2.34975,3.27545,4.18018
1.72602,0.378317,1.26021,-0.400873
1.17732,-0.139565,1.28395,-0.622884
0.960814,0.778320,2.54282,0.820286
0.388411,2.35208,3.17159,2.62100
0.393889,0.647466,1.52427,-0.0995797
0.476747,0.718631,2.16404,0.520313
0.440172,2.29238,2.73943,4.17403
1.29129,0.0807624,1.68219,-0.233710
0.249298,0.149127,1.42889,0.418888
1.84404,1.80271,4.41733,5.22010
1.04626,2.20128,4.13628,6.14867
1.73348,0.760124,2.76601,-0.709901
2.53320,1.92703,5.16942,2.57893
0.377860,2.87233,3.67249,6.56902
1.28326,1.18899,2.24747,0.203899
1.47996,0.451492,1.91231,0.0467344
1.28352,0.833731,3.24672,0.809102
0.554331,1.35626,2.30308,3.41914
0.512049,1.23393,2.92828,2.35276
1.69481,0.582792,2.49324,0.611929
0.163527,1.07385,2.22867,2.82001
1.74049,3.12065,5.77640,5.94951
0.950413,2.94085,5.05647,8.29312
1.96232,2.02166,3.86935,1.48468
2.03048,3.68694,6.19214,4.13034
3.76714,-0.150362,2.88673,2.65696
0.436497,3.40284,4.74981,9.94606
2.12446,2.02630,3.49836,0.827448
2.03182,1.09875,3.19151,-1.27469
2.03237,1.35161,4.47025,2.86340
0.508229,1.93544,3.36144,7.30219
0.694057,1.69012,3.96737,6.60343
1.98096,1.41994,3.78122,2.01469
0.250080,1.67117,3.44294,5.54935
1.87828,3.45677,6.31285,6.37424
2.37746,2.67297,5.13862,4.66959
2.07238,4.12615,6.48806,4.67872
2.53526,2.22434,4.28172,5.18218
0.487647,3.63134,5.33075,10.4959
3.13753,2.56606,4.99943,1.40435
3.12443,1.71331,4.63495,-1.14607
1.86658,2.31663,5.53110,4.16792
0.363467,3.15817,4.56807,11.4192
0.576188,2.96742,5.16614,9.37569
1.94173,2.71379,5.07677,3.91358
0.181619,3.22947,4.67137,7.84079
2.43361,3.70490,5.98530,6.34274
3.99003,2.63010,6.59779,-0.584195
1.07101,3.33311,5.08765,8.66461
0.578409,3.49584,6.48060,9.00694
4.01966,2.66208,6.03755,-0.0706076
3.54575,2.77291,5.71535,1.03382
1.15021,3.18963,6.00805,4.49848
0.587239,3.61571,5.33057,14.7506
1.88351,3.43713,5.85594,5.76164
0.875979,3.44042,5.41399,10.7059
5.85128,1.30268,6.93943,-2.99577
0.996183,4.32259,5.88584,11.8718
4.34457,2.57570,6.49913,0.331957
3.75358,3.03972,6.31910,0.666663
2.15537,2.31544,6.16343,2.36354
0.694434,4.23609,5.86964,13.8922
0.762883,4.07673,6.37026,11.1271
3.37991,2.51755,6.03275,2.83799
0.598772,4.11500,5.87068,11.9366
4.26656,1.31256,6.70382,0.0294411
1.53483,4.63864,6.47154,6.60632
4.54472,0.374158,6.00437,-8.88386
0.958255,4.32083,5.67816,10.8325
5.83728,0.729721,6.80213,0.759835
4.44922,2.35593,6.12884,-0.619776
2.15641,4.16449,5.98227,9.60950
3.52464,2.66516,6.05473,-0.862854
1.23513,3.20016,5.36354,11.9909
0.616564,4.17151,6.15325,9.24003
3.80146,3.26928,5.62482,2.51402
0.883366,3.85020,5.52034,9.30634
4.69598,0.984292,6.56679,-4.72249
3.09435,0.313780,5.87833,-5.66252
1.90756,3.63767,5.77585,4.04605
5.79278,1.04075,6.23342,-4.19301
1.19325,3.61569,5.11214,10.0949
5.08102,1.14527,6.26086,4.33415
4.07279,1.57857,5.27659,-1.28151
1.61426,3.88924,5.32227,8.45135
3.20636,2.74755,5.33623,-0.335528
4.14586,1.02442,5.11296,-1.76922
0.731439,3.12018,5.04762,10.2096
0.754292,3.21295,5.66302,7.34980
3.72211,1.77452,5.10083,0.317981
0.700264,3.28033,5.12094,9.30085
4.71077,0.643537,5.39653,-2.96197
4.80620,1.65509,6.38302,-1.08314
2.05988,2.10882,4.67440,3.10110
5.28024,1.06291,5.60953,-2.93533
0.724313,2.66573,3.83011,9.11552
3.28952,2.30395,5.68397,4.61805
3.13328,1.61929,4.22723,-0.123223
1.12503,2.90034,3.97780,6.95581
2.83663,1.71334,4.03037,-1.32817
0.386151,2.81735,3.87585,6.42697
0.886177,2.02157,4.51129,6.64454
2.76303,1.82558,4.29087,0.842158
0.216538,3.11549,3.74797,6.94509
3.52099,1.03208,5.09639,-1.98835
1.48192,1.23670,3.30234,1.40623
5.13737,0.995335,5.34724,-3.63129
1.30522,1.24263,2.43964,4.61575
0.888861,2.99592,4.61860,6.38670
2.05339,1.42201,2.61095,0.0795109
1.11753,1.54144,2.56962,4.27380
1.68065,0.704027,2.48720,-0.760268
0.779298,1.35451,2.53197,3.53082
1.14232,1.32389,3.16563,2.16215
2.98905,0.599820,2.88157,0.497796
0.757086,1.35279,2.68328,4.80390
3.23312,0.756290,4.59044,-1.66138
2.85601,0.938805,4.64516,4.38249
1.33651,0.706613,2.36551,0.377975
3.50135,0.840007,4.91056,-0.468281
0.510554,2.31513,3.67551,6.42448
2.06149,0.942770,1.63627,-1.45482
0.991711,0.487728,1.61226,1.20088
1.43633,-0.166460,1.41166,-1.98179
0.623475,0.735549,1.78509,1.63206
0.522466,0.975630,2.40971,1.67276
2.33720,-0.0552907,1.97692,0.0181671
0.554652,0.790976,1.64212,2.56040
2.94063,0.769280,3.83844,-1.67080
2.34221,1.04891,4.29915,1.36984
1.58013,0.243478,1.87584,-1.58722
2.99825,1.02856,4.73488,-0.611804
0.552687,1.99199,3.61955,4.36281
1.57924,0.520783,1.21885,-1.09892
0.840344,0.216926,1.16447,0.912355
0.993947,-0.0731083,1.09098,-1.01620
0.582342,0.522698,1.27441,1.10829
0.481859,0.727876,1.96068,-0.110216
2.71680,0.106978,3.32855,-3.24637
1.39200,1.56764,4.00223,4.00180
1.61376,0.0415628,1.97365,-1.73851
2.38860,1.64200,4.56390,1.05359
0.321542,2.09053,3.21431,5.09085
1.79626,0.516667,1.37024,-0.931088
1.23804,-0.0456002,1.12369,-1.56340
0.565336,0.551142,1.47644,0.186732
0.530629,0.779872,2.10409,0.0824207
2.02483,0.0268263,1.74934,-1.07513
1.07829,0.135588,1.44432,-0.397685
2.66234,0.747876,3.51828,-1.39921
2.72532,1.47530,4.22258,2.62051
1.20050,2.47577,4.79395,5.59112
2.14171,0.803882,2.73660,-1.10486
2.03032,2.27491,5.42676,3.34441
0.292919,2.65346,3.99169,7.09071
1.86948,1.22167,2.01949,-1.28318
1.06498,1.12426,1.98759,1.14419
1.57269,0.491419,1.81941,-2.67810
0.728958,0.765364,2.15759,2.15556
0.878087,1.11617,2.84868,2.12116
2.09949,0.671079,2.55600,-0.00729156
2.79669,1.67078,4.51667,-1.58348
2.26532,2.33855,5.00164,3.79085
1.11303,3.31493,5.40616,9.45225
1.88811,1.86394,4.00603,1.99225
1.66845,3.49404,6.20567,7.67260
3.27486,0.233939,2.84790,3.33778
0.475975,2.77465,4.60662,10.6574
1.79991,1.79217,3.51858,0.197680
1.08984,2.49931,3.22729,4.60850
1.97630,1.07332,3.07303,-1.24507
0.724589,2.00575,3.31061,6.85263
0.327460,2.59440,4.07022,7.32815
2.30324,1.79481,3.66086,2.54284
2.50842,0.582304,3.33334,3.00913
2.56516,1.88099,5.30448,-1.23922
2.23750,2.85545,5.89812,5.57550
1.13242,3.58973,6.22179,7.93510
2.29150,2.62021,5.31905,6.54260
1.77983,4.24970,6.43550,6.85405
1.82891,2.12148,4.19553,10.1924
0.347393,3.41432,5.48168,11.4413
2.63729,1.88082,4.95359,1.12297
1.04713,3.53431,4.53075,9.57868
3.35723,1.29311,4.65337,-0.236504
2.69368,1.37448,5.47624,1.56606
0.661562,2.75289,4.52853,10.0038
0.381975,2.53726,5.15913,9.76374
2.46755,2.34268,4.97366,3.86826
2.67817,1.35099,4.61041,5.98984
2.92982,1.55439,5.73057,-1.22423
2.10786,3.05717,6.60596,5.58721
3.11449,3.02198,6.67692,2.91724
2.17836,3.86891,6.07237,7.10357
3.46533,2.84399,6.69867,4.84629
1.36892,4.05886,5.43489,11.5495
1.11964,2.83512,6.06264,10.3213
3.59315,2.81427,5.79593,1.21552
1.42794,4.17940,5.51617,10.6350
3.36637,2.61212,5.56505,0.565821
3.88088,1.24120,5.92719,1.61185
0.802812,3.58470,5.37282,12.2001
0.740841,3.03789,5.98093,10.7989
2.08946,2.61984,5.59206,9.01048
2.79625,2.21798,6.09556,-0.892774
3.65671,1.95612,6.88950,0.112155
4.85926,1.34291,6.51260,-3.21409
5.38242,0.970634,6.17251,-3.80370
0.873780,4.14916,5.77174,13.5523
3.35050,2.01103,6.53723,1.34165
4.30433,2.53709,6.54254,0.399101
1.31828,4.86303,6.03583,13.2347
3.71920,3.00345,6.43357,1.63996
3.80410,1.78643,6.07931,0.109250
0.642349,3.90107,5.74005,13.2450
0.573297,4.14237,6.40886,10.8955
1.54225,3.31243,5.67751,10.0326
2.84182,1.79308,6.46881,-3.06865
4.03341,1.16336,6.39532,-1.48247
5.97669,1.63580,6.66082,-3.71370
1.31345,4.38935,6.22046,5.72405
5.72624,0.955654,6.17389,-3.54543
1.40152,3.29308,5.52527,9.37462
4.63082,1.58941,6.29722,3.83180
1.91621,4.10786,5.63764,9.31541
0.879455,3.45142,5.62075,11.5711
0.873696,3.21360,6.14161,10.0199
1.59986,2.74515,5.60296,8.59642
3.85756,1.61418,6.54082,-2.39593
1.72333,2.06982,5.38694,-2.79196
1.07416,4.51713,5.83932,7.10658
6.37168,0.968655,5.63794,-3.79103
1.50238,4.02127,5.10543,9.38106
0.612639,3.78685,5.10954,9.17574
0.769129,3.33813,5.67215,9.54867
2.63772,2.19946,5.18569,4.57298
4.66481,1.35217,6.08234,-1.09661
1.40228,1.25137,4.81028,-2.86013
1.01563,3.18632,4.49932,3.21671
5.66129,0.842905,5.60918,-4.16856
4.13795,1.79133,5.57915,2.42421
0.914026,2.01327,4.45326,3.62696
4.43815,1.24219,5.47257,-3.05383
1.10308,0.515556,3.35740,-2.72867
5.81775,0.765384,5.48456,-3.28912
0.655965,1.49073,3.35873,1.95476
3.64270,0.415886,4.35610,-2.67891
4.41165,0.648599,4.77149,-3.21417
0.482162,1.09173,2.48337,3.31133
2.96891,0.575763,3.58387,-2.34143
