Date,No. of Fatal Attacks,Deaths
1854/08/19,1,1
1854/08/20,1,0
1854/08/21,1,2
1854/08/22,0,0
1854/08/23,1,0
1854/08/24,1,2
1854/08/25,0,0
1854/08/26,1,0
1854/08/27,1,1
1854/08/28,1,0
1854/08/29,1,1
1854/08/30,8,2
1854/08/31,56,3
1854/09/1,143,70
1854/09/2,116,127
1854/09/3,54,76
1854/09/4,46,71
1854/09/5,36,45
1854/09/6,20,37
1854/09/7,28,32
1854/09/8,12,30
1854/09/9,11,24
1854/09/10,5,18
1854/09/11,5,15
1854/09/12,1,6
1854/09/13,3,13
1854/09/14,0,6
1854/09/15,1,8
1854/09/16,4,6
1854/09/17,2,5
1854/09/18,3,2
1854/09/19,0,3
1854/09/20,0,0
1854/09/21,2,0
1854/09/22,1,2
1854/09/23,1,3
1854/09/24,1,0
1854/09/25,1,0
1854/09/26,1,2
1854/09/27,1,0
1854/09/28,0,2
1854/09/29,0,1
1854/09/30,0,0
,45,0